question_no	pdf_page	source_label	preview
225	228	(a.b.c.d.c.e.b)2011 数一	(a.b.c.d.c.e.b)2011 数一 (1) 曲线 y = x-1 x-2 2 x-3 3 x-4 4的拐点是 ( ) A. 1,0 . B. 2,0 . C. 3,0 . D. 4,0 . 大观严选题 —— 澄潇宇 第 225 页，共 767 页
226	229	(a.b.c.d.c.f .a)2000 数二	i.ii.iii.iv.iii.vii.vi) 微分方程解的拐点 (a.b.c.d.c.f .a)2000 数二 (2) 设函数 f x 满足关系式 f  x + f   x 2 = x，且 f  0 = 0，则 ( ) A. f 0 是 f x 的极大值. B. f 0 是 f x 的极小值. C. 点 0,f 0  是曲线 y = f x 的拐点. D. f 0 不是 f 
227	230	i.ii.iii.iv.iii.vii) 参数方程凹凸性及拐点 (a.b.c.d.c.g.a)2011 数二	i.ii.iii.iv.iii.vii) 参数方程凹凸性及拐点 (a.b.c.d.c.g.a)2011 数二 设函数 y = yx 由参数方程 x= 1 3 t3+t+
228	231	(a.b.c.d.c.h.a)2010 数三	i. ii.ii.iv.iii.viii.viii) 已知拐点求参数 (a.b.c.d.c.h.a)2010 数三 若曲线 y = x 3+ ax2+ bx + 1 有拐点 -1,0 ，则 b = _____ 大观严选题 —— 澄潇宇 第 228 页，共 767 页
229	232	(a.b.c.d.c.h.b)2023 数二	(a.b.c.d.c.h.b)2023 数二 7.设函数 f x = x 2+a e x , 若 f x 没有极值点, 但曲线 y = f x 有拐点, 则 a 的取值范围是 ( ). A. [0,1) B. [1, +∞) C. [1,2) D. [2, +∞) 大观严选题 —— 澄潇宇 第 229 页，共 767 页
230	233	(1.2.3.5.1)2011 数二	a.b.c.e) 方程根 / 曲线交点 / 函数零点 (1.2.3.5.1)2011 数二 函数 f x = ln x-1 x-2 x-3  的驻点个数为 ( ) A. 0. B. 1. C. 2. D. 3. 大观严选题 —— 澄潇宇 第 230 页，共 767 页
231	234	(1.2.3.5.2)2003 数二;880 第二章基础解答 36	(1.2.3.5.2)2003 数二;880 第二章基础解答 36 讨论曲线 y = 4lnx + k 与 y = 4x + ln4x 的交点个数. 大观严选题 —— 澄潇宇 第 231 页，共 767 页
232	235	(1.2.3.5.3)2021 数二三	(1.2.3.5.3)2021 数二三 (3) 设函数 f x = ax - blnxa>0 有两个零点，则 b a 的取值范围是 ( ) A. e,+∞  B. 0,e  C. 0, 1 e
233	236	(1.2.3.6.1)2000 数一二;26 版 1000 第六章基础 17	a.b.c.f) 不等式 (1.2.3.6.1)2000 数一二;26 版 1000 第六章基础 17 (3) 设函数 f x ,gx 是大于零的可导函数, 且 f  x gx - f x g  x < 0, 则当 a < x < b 时, 有 ( ). A. f x gb > f b gx  B. f x ga > f a gx  C. f x gx > f b 
234	237	(1.2.3.6.2)2017 数一三	(1.2.3.6.2)2017 数一三 (2) 设函数 f x 可导, 且 f x f  x > 0, 则 ( ) A. f 1 > f -1 . B. f 1 < f -1 . C.  f 1  >  f -1 . D.  f 1  <  f -1 . 大观严选题 —— 澄潇宇 第 234 页，共 767 页
235	238	(1.2.3.6.3)2001 数二;880 第二章综合选择 1;25 版 660 数一二三第 173 题	(1.2.3.6.3)2001 数二;880 第二章综合选择 1;25 版 660 数一二三第 173 题 (4) 已知函数 f x 在区间 1-δ,1+δ 内具有二阶导数， f  x 严格单调减少，且 f 1 = f  1 = 1， 则 ( ). A. 在 1-δ,1 和 1,1+δ 内均有 f x < x B. 在 1-δ,1 和 1,1+δ 内均有 f x > x C. 在 1-δ
236	239	(1.2.3.6.4)2014 数一二三	(1.2.3.6.4)2014 数一二三 (3) 设函数 f x 具有二阶导数， gx = f 0 1-x + f 1 x，则在区间 0,1 上 ( ) A. 当 f  x ≥ 0 时, f x ≥ gx . B. 当 f  x ≥ 0 时, f x ≤ gx . C. 当 f  x ≥ 0 时, f x ≥ gx . D. 当 f  x ≥ 0 时, f x 
237	240	(1.2.3.6.5)2017 数二	(1.2.3.6.5)2017 数二 (2) 设二阶可导函数 f x 满足 f 1 = f -1 = 1,f 0 =-1，且 f  x > 0，则 ( ) A. 1-1 f  x dx > 0. B.
238	241	(1.2.3.6.6)2018 数二三;26 版	(1.2.3.6.6)2018 数二三;26 版 (4) 设函数 f x 在 0,1 上二阶可导, 且 1 0 f  x dx = 0, 则 ( ) A. 当 f  x < 0 时, f 1
239	242	(1.2.3.6.7)2020 数二	(1.2.3.6.7)2020 数二 6.设函数 f x 在区间 -2,2 上可导, 且 f  x > f x > 0, 则 ( ) A. f -2  f -1  > 1. B. f 0  f -1 
240	243	(1.2.3.7.1)2010 数二	a.b.c.g) 物理应用 (1.2.3.7.1)2010 数二 (13) 已知一个长方形的长 l 以 2cm/s 的速率增加, 宽 w 以 3cm/s 的速率增加.则当 l = 12cm, w = 5cm 时，它的对角线增加的速率为 _____大观严选题 —— 澄潇宇 第 240 页，共 767 页
241	244	(1.2.3.7.2)2016 数二	(1.2.3.7.2)2016 数二 (13) 已知动点 P 在曲线 y = x 3上运动，记坐标原点与点 P 间的距离为 l.若点 P 的横坐标对时间的变 化率为常数 v0，则当点 P 运动到点 1,1 时， l 对时间的变化率是 _____ 大观严选题 —— 澄潇宇 第 241 页，共 767 页
242	245	(1.2.3.7.3)2021 数二	(1.2.3.7.3)2021 数二 (3) 有一圆柱体，底面半径与高随时间变化的速率分别为 2cm/s, -3cm/s，当底面半径为 10cm，高 为 5cm 时，圆柱体的体积与表面积随时间变化的速率分别为 ( ). A. 125πcm3 /s,40πcm2 /s B. 125πcm3 /s, -40πcm2
243	246	a.b.d.a)2021 数一	1.2.4.泰勒多项式 a.b.d.a)2021 数一 (3) 设函数 f x = sinx 1+x 2 在 x = 0 处的 3 次泰勒多项式为 ax + bx2+ cx3，则 ( )
244	247	a.b.d.b)2021 数二	a.b.d.b)2021 数二 (5) 设函数 f x = secx 在 x = 0 处的 2 次泰勒多项式为 1 + ax + bx2，则 ( ) A. a = 1,b =- 1 2 B. a = 1,b =
245	248	(a.c.a.a.a.a.a)2021 数一	三、一元积分 1.3.1.积分计算 a.c.a.a) 有理函数 (1.3.1.1.1 分母质因式 i.iii.i.i.i.i) 分子常数 (a.c.a.a.a.a.a)2021 数一 +∞
246	249	(a.c.a.a.a.b.a)2022 数二	i.iii.i.i.i.ii) 分子一次 (a.c.a.a.a.b.a)2022 数二 1 0 2x+3 x 2-x+1
247	250	(a.c.a.a.b.a.a)1992 数二; 李正元例 3.43 - 2	(1.3.1.1.2) 分母可因式分解 i.iii.i.i.ii.i) 分母简单 (a.c.a.a.b.a.a)1992 数二; 李正元例 3.43 - 2 +∞ 1 dx x x 2+1 
248	251	(a.c.a.a.b.a.b)1993 数二	(a.c.a.a.b.a.b)1993 数二 求 +∞ 0 x 1+x   3 dx. 大观严选题 —— 澄潇宇
249	252	(a.c.a.a.b.a.c)2024 数三	(a.c.a.a.b.a.c)2024 数三 +∞ 2 5 x 4+3x 2-4
250	253	(a.c.a.a.b.b.a)2025 数一二三	i.iii.i.i.ii.ii) 分母复杂 (a.c.a.a.b.b.a)2025 数一二三 计算 1 0 1 x+1  x 2-2x+2 
251	254	(a.c.a.a.b.b.b)2019 数二	(a.c.a.a.b.b.b)2019 数二 计算积分  3x+6 x-1 2 x 2+x+1  dx. 大观严选题 —— 澄潇宇 第 251 页，共 767 页
252	255	i.iii.i.i.ii.i)1996 数二;880 基础解答 1 - 4	(1.3.1.1.3) 有理函数乘其他函数 i.iii.i.i.ii.i)1996 数二;880 基础解答 1 - 4  arctanx x 2 1+x 2
253	256	i.iii.i.ii.i.i)2009 数二三;1000 第九章基础 3	a.c.a.b) 含根式 (1.3.1.2.1 根号下一坨 i.iii.i.ii.i.i)2009 数二三;1000 第九章基础 3 计算不定积分  ln 1+ 1+x  x dxx>0 . 大观严选题 —— 澄潇宇
254	257	i.iii.i.ii.ii.i)1988 数三	(1.3.1.2.2) 根号 x i.iii.i.ii.ii.i)1988 数三 求定积分 3 0 dx x 1+x 
255	258	i.iii.i.ii.ii.ii)1997 数二	i.iii.i.ii.ii.ii)1997 数二  dx x4-x  = _____. 大观严选题 —— 澄潇宇 第 255 页，共 767 页
256	259	i.iii.i.ii.ii.iii)2011 数三	i.iii.i.ii.ii.iii)2011 数三 求不定积分  arcsin x+lnx x dx. 大观严选题 —— 澄潇宇 第 256 页，共 767 页
257	260	i.iii. i. ii. ii.iv)2020 数二;1000 第九章强化 15	i.iii. i. ii. ii.iv)2020 数二;1000 第九章强化 15 3. 1 0 arcsin x x1-x   dx = ( ) A. π
258	261	i.iii. i.ii.ii.i)2000 数二;30 习题 9.6	(1.3.1.2.3) 分母多项式乘根号 i.iii. i.ii.ii.i)2000 数二;30 习题 9.6 +∞ 2 dx x+7  x-2  = _____. 大观严选题 —— 澄潇宇
259	262	i.iii. i. ii.iv.i)1991 数一;660 数二 112;30 例 9.27	(1.3.1.2.4) 根号下二次多项式 i.iii. i. ii.iv.i)1991 数一;660 数二 112;30 例 9.27 +∞ 3 dx x-1 4 x
260	263	i.iii. i.ii.iv.ii)2012 数一	i.iii. i.ii.iv.ii)2012 数一 2 0 x  2x-x 2 dx = _____. 大观严选题 —— 澄潇宇 第 260 页，共 767 页
261	264	i.iii.i.ii.v.i)1998 数二;880 基础解答 9 - 2;30 例 9.26	(1.3.1.2.5) 根号下绝对值 i.iii.i.ii.v.i)1998 数二;880 基础解答 9 - 2;30 例 9.26 计算积分 3 2 1
262	265	i.iii.i.ii.vi.i)1992 数二;880 基础解答 2 - 3; 李正元例 3.40 - 1	(1.3.1.2.6) 平方和差 i.iii.i.ii.vi.i)1992 数二;880 基础解答 2 - 3; 李正元例 3.40 - 1  x 3 1+x 2
263	266	i.iii. i. ii. vi. ii)2001 数二;880 基础解答 2 - 4	i.iii. i. ii. vi. ii)2001 数二;880 基础解答 2 - 4 求  dx 2x  2+1  x 2+1 . 大观严选题 —— 澄潇宇 第 263 页，共 767 页
264	267	i.iii. i. ii.vi.iii)2008 数二	i.iii. i. ii.vi.iii)2008 数二 计算积分 1 0 x 2arcsinx 1-x
265	268	i.iii. i. ii. vi.iv)2004 数二; 基础严选第五章填空 5	i.iii. i. ii. vi.iv)2004 数二; 基础严选第五章填空 5 +∞ 1 dx x x 2-1  = _____. 大观严选题 —— 澄潇宇
266	269	i.iii. i. ii.vi.v)2006 数二	i.iii. i. ii.vi.v)2006 数二 反常积分 +∞ 0 xdx 1+x 2
267	270	i.iii. i. ii. vi.vi)1994 数二;880 基础解答 8 - 2	i.iii. i. ii. vi.vi)1994 数二;880 基础解答 8 - 2 1 0 x  1-x 4  
268	271	i.iii. i. ii.vii. i)1993 数一;880 基础解答 2 - 2;30 例 9.4	(1.3.1.2.7) 指数相关 i.iii. i. ii.vii. i)1993 数一;880 基础解答 2 - 2;30 例 9.4  xex e x-1 dx 大观严选题 —— 澄潇宇
269	272	i. iii. i. ii. vii. ii)1996 数三;660 数二 110; 李正元例 3.43 - 3	i. iii. i. ii. vii. ii)1996 数三;660 数二 110; 李正元例 3.43 - 3 计算 +∞ 0 xe-x 1+e-x    2 dx. 大观严选题 —— 澄潇宇
270	273	i.iii. i.ii.vii.iii)2000 数三	i.iii. i.ii.vii.iii)2000 数三 +∞ 1 dx e x+e  2-x = _____. 大观严选题 —— 澄潇宇
271	274	i.iii. i.iii. i.i)2010 数一	a.c.a.c) 两函数相乘 (1.3.1.3.1 多次分部 i.iii. i.iii. i.i)2010 数一 π 2 0 x  cos x dx = _____. 大观严选题 —— 澄潇宇 第 271 页，共 767 页
272	275	i.iii. i.iii. i.ii)1991 数二	i.iii. i.iii. i.ii)1991 数二 求 xsin2xdx. 大观严选题 —— 澄潇宇 第 272 页，共 767 页
273	276	i.iii. i.iii. ii. i)1987 数二	(1.3.1.3.2) 反三角 i.iii. i.iii. ii. i)1987 数二 1 0 x  arcsinxdx 大观严选题 —— 澄潇宇
274	277	i.iii. i.iii. ii. ii. ii)2018 数一二;1000 第九章基础 4	i.iii. i.iii. ii. ii. ii)2018 数一二;1000 第九章基础 4 求不定积分 e 2xarctan e x-1 dx. 大观严选题 —— 澄潇宇 第 274 页，共 767 页
275	278	i.iii. i.iii. ii.iii)2006 数二	i.iii. i.iii. ii.iii)2006 数二 计算积分  arcsine x e x dx. 大观严选题 —— 澄潇宇 第 275 页，共 767 页
276	279	i.iii. i. iii. ii.iv)1999 数二;900 第三章数二 A 类 50	i.iii. i. iii. ii.iv)1999 数二;900 第三章数二 A 类 50 计算积分 +∞ 1 arctanx x  2 dx. 大观严选题 —— 澄潇宇
277	280	i.iii. i.iii.iii.i) 武老师基础严选第五章填空 4;2026 数一	(1.3.1.3.3) 指对有关 i.iii. i.iii.iii.i) 武老师基础严选第五章填空 4;2026 数一 14. +∞ 1 lnx+1  x
278	281	i.iii. i.iii.iii.ii)2022 数一	i.iii. i.iii.iii.ii)2022 数一 e 2 1 lnx x  dx = ______. 大观严选题 —— 澄潇宇
279	282	1000 第八章强化 11	1000 第八章强化 11 6.若函数 f α = +∞ 2 1 xlnx   α+1 dx 在 α = α0处取得最小值，则 α0 = ( ). A. -
280	283	i.iii. i.iii.iii.iv)2007 数一	i.iii. i.iii.iii.iv)2007 数一 2 1 1 x  3 e xdx = _____. 大观严选题 —— 澄潇宇
281	284	i.iii. i.iii.iii.v)1997 数二;30 例 9.7;880 基础解答 4 - 6	i.iii. i.iii.iii.v)1997 数二;30 例 9.7;880 基础解答 4 - 6 计算 e 2x tanx+1 2dx. 大观严选题 —— 澄潇宇 第 281 页，共 767 页
282	285	i.iii. i.iii.iv.i)2019 数一三	(1.3.1.3.4) 递推 i.iii. i.iii.iv.i)2019 数一三 设 an = 1 0 x n
283	286	i.iii. i.iv.i.i) 姜晓千基础例题	a.c.a.d) 三角相关 (1.3.1.4.1 高次幂 i.iii. i.iv.i.i) 姜晓千基础例题 (1) sin3xdx = _____； (2) cos4xdx = ____. (3) csc4xdx = _____. (4)
284	287	i.iii.i.iv.i.ii) 张宇 1000 第 9 章基础 1 节选	i.iii.i.iv.i.ii) 张宇 1000 第 9 章基础 1 节选 (15)  tan2xdx; (16)  tan3xdx;
285	288	i.iii. i.iv.ii.i)1987 数二;880 基础解答 3 - 6;1000 第九章基础 1 - 20	(1.3.1.4.2) 含参讨论 i.iii. i.iv.ii.i)1987 数二;880 基础解答 3 - 6;1000 第九章基础 1 - 20  dx a 2 sin2x+b
286	289	i.iii. i.iv.iii. i)1993 数二	(1.3.1.4.3) 三角分式 i.iii. i.iv.iii. i)1993 数二 求 π 40 x 1+cos2x
287	290	i.iii. i.iv.iii.ii)1994 数一二;880 基础解答 3 - 5	i.iii. i.iv.iii.ii)1994 数一二;880 基础解答 3 - 5  dx sin2x+2sinx 大观严选题 —— 澄潇宇 第 287 页，共 767 页
288	291	i.iii. i.iv.iii.iii)1996 数二;880 基础解答 3 - 2	i.iii. i.iv.iii.iii)1996 数二;880 基础解答 3 - 2  dx 1+sinx ; 大观严选题 —— 澄潇宇 第 288 页，共 767 页
289	292	i.iii. i.iv.iv.i)1992 数二;880 基础解答 7 - 4	(1.3.1.4.4) 复杂三角 i.iii. i.iv.iv.i)1992 数二;880 基础解答 7 - 4 π 0 1-sinx  dx 大观严选题 —— 澄潇宇
290	293	i.iii.i.v.i.i)2016 数一二	a.c.a.e) 分段函数 (1.3.1.5.1 求分段函数的不定积分 (原函数) i.iii.i.v.i.i)2016 数一二 (2) 已知函数 f x = 2x-1 , x<1, lnx, x≥1,   ，则 f x 的一个原函数是 ( )
291	294	i.iii.i.v.i.ii)2023 数二三;30 例 8.2	i.iii.i.v.i.ii)2023 数二三;30 例 8.2 2.函数 f x = 1 1+x 2 , x≤0, x+1 cosx, x>0
292	295	i.iii.i.v.ii.i)2004 数三	(1.3.1.5.2) 分段函数定积分 i.iii.i.v.ii.i)2004 数三 设 f x = xex 2 ,-
293	296	i.iii.i.v.iii.i)2009 数二	(1.3.1.5.3) 分段函数反常积分 i.iii.i.v.iii.i)2009 数二 已知 +∞ -∞ e
294	297	i.iii.i.v.iii.ii)2011 数二	i.iii.i.v.iii.ii)2011 数二 设函数 f x = λe-λx , x>0, 0, x≤0  λ>0  
295	298	i.iii. i. v.iii.iii)2021 数二	i.iii. i. v.iii.iii)2021 数二 +∞ -∞ x  3-x 2dx = ______. 大观严选题 —— 澄潇宇 第 295 页，共 767 页
296	299	i.iii.i.v.iv.i)1988 数二；	(1.3.1.5.4) 求分段函数的变限积分 i.iii.i.v.iv.i)1988 数二； x-1 1-t   dtx≥-1  大观严选题 —— 澄潇宇 第 296 页，共 767 页
297	300	i.iii.i.v.iv.ii)1993 数二	i.iii.i.v.iv.ii)1993 数二 (3) 已知 f x = x 2 , 0≤x≤1 1, 1≤x≤2, 
298	301	(a.c.a.f .a.a.a)1996 数二	(1.3.1.6.1) 奇偶性 i.iii. i.vi. i. i) 对称区间 (a.c.a.f .a.a.a)1996 数二 1-1 x+ 1-x 2  2
299	302	(a.c.a.f .a.a.b)2001 数二	(a.c.a.f .a.a.b)2001 数二 π 2- π 2 x 3+sin2
300	303	(a.c.a.f .a.a.c)2006 数一二三;880 基础解答 5 - 3	(a.c.a.f .a.a.c)2006 数一二三;880 基础解答 5 - 3 2-2 x+x   e-xdx 大观严选题 —— 澄潇宇 第 300 页，共 767 页
301	304	(a.c.a.f .a.a.d)2015 数一	(a.c.a.f .a.a.d)2015 数一 π 2- π 2 sinx 1+cosx
302	305	(a.c.a.f .a.a.e)2017 数三	(a.c.a.f .a.a.e)2017 数三 π-π sin3x+ π 2-x 2   dx = _____. 大观严选题 —— 澄潇宇 第 302 页，共 767 页
303	306	(a.c.a.f .a.b.a)2026 数三	i.iii. i.vi. i.ii) 需要转化 (a.c.a.f .a.b.a)2026 数三 1 0 x  x-1  x￾1 2
304	307	(a.c.a.f .b.a.a)1989 数二;880 基础解答 8 - 3	(1.3.1.6.2) 区间再现 i.iii. i.vi.ii.i)sin 推论 (a.c.a.f .b.a.a)1989 数二;880 基础解答 8 - 3 π 0 t  sintdt = _____. 大观严选题 —— 澄潇宇
305	308	(a.c.a.f .b.b.a)1995 数三	i.iii. i.vi. ii. ii) 指数相关 (a.c.a.f .b.b.a)1995 数三 设 f x ,gx 在区间 -a,a a>0 上连续, gx 为偶函数, 且 f x 满足条件 f x + f -x = A(A 为 常数). (1) 证明 a-a f  x gx dx = A
306	309	i.iii.i.vi.iii.i)2013 数一; 基础严选第五章解答 5	(1.3.1.6.3) 求变限积分的定积分 i.iii.i.vi.iii.i)2013 数一; 基础严选第五章解答 5 计算 1 0 f x 
307	310	i.iii. i.vi.iii.ii)2019 数二	i.iii. i.vi.iii.ii)2019 数二 13.已知函数 f x = x x1 sint2 t  dt, 则 1 0
308	311	(1.3.1.7.1)1993 数三	a.c.a.g) 反常积分特殊题型 (1.3.1.7.1)1993 数三 已知 limx→∞ x-a x+a  
309	312	(a.c.b.a.a.a.a)1999 数二;880 第三章基础填空 11;30 习题 10.5	1.3.2.积分应用 a.c.b.a) 几何应用 (1.3.2.1.1 平均值 i.iii.ii.i.i.i) 已知函数 (a.c.b.a.a.a.a)1999 数二;880 第三章基础填空 11;30 习题 10.5 f x = x
310	313	(a.c.b.a.a.a.b)2026 数二	(a.c.b.a.a.a.b)2026 数二 函数 f x = ln2+x 在区间 0,2 上的平均值为 _____. 大观严选题 —— 澄潇宇 第 310 页，共 767 页
311	314	(a.c.b.a.a.b.a)2016 数二;1000 第十章强化 17(第一问)	i.iii.ii.i.i.i.i) 函数未知 (a.c.b.a.a.b.a)2016 数二;1000 第十章强化 17(第一问) 已知函数 f x 在 0, 3π 2  
312	315	i.iii.ii.i.i.i.i.i.i.i)1998 数二; 基础严选第六章填空 1	(1.3.2.1.2) 面积 i.iii. ii. i. ii. i) 直角坐标 (a.c.b.a.b.a.a) 常规 i.iii.ii.i.i.i.i.i.i.i)1998 数二; 基础严选第六章填空 1 曲线 y =-x 3+ x 2+ 2x 与 x 轴所围图形的面积 A = _____. 大观严选题 —— 澄潇宇
313	316	##i.iii.ii.i.ii.i.i.ii)1987 数一;880 第三章基础填空 16; 基础严选第六章填空 3	##i.iii.ii.i.ii.i.i.ii)1987 数一;880 第三章基础填空 16; 基础严选第六章填空 3 由曲线 y = lnx 与两直线 y = e + 1 - x 及 y = 0 所围成的平面图形的面积是 _____ 大观严选题 —— 澄潇宇 第 313 页，共 767 页
314	317	i.iii.ii.i.ii.i.i.ii.i2014 数三	i.iii.ii.i.ii.i.i.ii.i2014 数三 设 D 是由曲线 xy + 1 = 0 与直线 y + x = 0 及 y = 2 围成的有界区域, 则 D 的面积为 _____ 大观严选题 —— 澄潇宇 第 314 页，共 767 页
315	318	i.iii.ii.i.i.ii.i.iv)2002 数二; 基础严选第六章填空 5	i.iii.ii.i.i.ii.i.iv)2002 数二; 基础严选第六章填空 5 位于曲线 y = xe-x 0≤x<+∞ 下方, x 轴上方的无界图形的面积是 _____ 大观严选题 —— 澄潇宇 第 315 页，共 767 页
316	319	i.iii.ii.i.ii.i.i.ii.i)2019 数一二三;30 例 10.4	(a.c.b.a.b.a.b) 指数。三角 i.iii.ii.i.ii.i.i.ii.i)2019 数一二三;30 例 10.4 求曲线 y = e-xsinxx≥0 与 x 轴之间图形的面积. 大观严选题 —— 澄潇宇 第 316 页，共 767 页
317	320	i.iii.ii.ii.ii.i.iii.i1992 数二;30 习题 10.6	(a.c.b.a.b.a.c) 面积最值 i.iii.ii.ii.ii.i.iii.i1992 数二;30 习题 10.6 求曲线 y = x 的一条切线 l, 使该曲线与切线 l 及直线 x = 0,x = 2 所围成图形面积最小. 大观严选题 —— 澄潇宇 第 317 页，共 767 页
318	321	i.iii.ii.i.i.ii.ii.ii.ii)2024 数三	i.iii.ii.i.i.ii.ii.ii.ii)2024 数三 19.设 t > 0, 平面有界区域 D 由曲线 y = xe-2x与直线 x = t,x = 2t 及 x 轴围成, D 的面积 为 St , 求 St 的最大值. 大观严选题 —— 澄潇宇 第 318 页，共 767 页
319	322	i.iii.ii.i.ii.i.iv.i)2014 数二	(a.c.b.a.b.a.d) 与极限结合 i.iii.ii.i.ii.i.iv.i)2014 数二 设函数 f x = x 1+x ,x ∈ 0,1 , 定义函数列:
320	323	i.iii.ii.i.i.ii.ii.i2003 数二; 基础严选第六章填空 6	i.iii.ii.i.ii.ii) 极坐标 (a.c.b.a.b.b.a) 对数螺线 i.iii.ii.i.i.ii.ii.i2003 数二; 基础严选第六章填空 6 (4) 设曲线的极坐标方程为 ρ = e aθa>0 ，则该曲线上相应于 θ 从 0 变到 2π 的一段弧与极轴所围成 的图形的面积为 _____ 大观严选题 —— 澄潇宇 第 320 页，共 767 页
321	324	i.iii. ii. i. ii. ii. ii. ii. ii2022 数二	(a.c.b.a.b.b.b) 三叶玫瑰线 i.iii. ii. i. ii. ii. ii. ii. ii2022 数二 已知曲线 L 的极坐标方程为 r = sin3θ 0≤θ≤ π 3  
322	325	i.iii.ii.i.ii.ii.ii.ii1993 数一;880 第三章综合填空 4; 基础严选第六章选择 2; 李正元例 3.54 - 1	(a.c.b.a.b.b.c) 双纽线 i.iii.ii.i.ii.ii.ii.ii1993 数一;880 第三章综合填空 4; 基础严选第六章选择 2; 李正元例 3.54 - 1 (2) 双纽线 x 2+y 2  2 = x
323	326	(a.c.b.a.b.c.a)2012 数一	i.iii.ii.i.ii.iii) 参数方程 (a.c.b.a.b.c.a)2012 数一 已知曲线 L: x= f t , y=cost , 0≤t< π 2   
324	327	i.iii.ii.ii.ii.i1.ii)2010 数三	(1.3.2.1.3) 旋转体体积 i.iii. ii. i.iii. i) 绕坐标轴旋转 (a.c.b.a.c.a.a) 常规 i.iii.ii.ii.ii.i1.ii)2010 数三 (10) 设位于曲线 y = 1 x 1+ln2
325	328	i.iii. ii. i. ii. i. ii. ii)2023 数二三	i.iii. ii. i. ii. i. ii. ii)2023 数二三 【例 3.47】 (2023, 数二、三) 设区域 D = x,y 0≤y≤ 1 x 1+x  2  ,x≥1
326	329	i.iii.ii.i.iii.i.ii)2019 数二三	i.iii.ii.i.iii.i.ii)2019 数二三 设函数 yx 是微分方程 y  - xy = 1 2 x e
327	330	i.iii.ii.i.iii.i.ii.)2021 数三	i.iii.ii.i.iii.i.ii.)2021 数三 (13) 设平面区域 D 由曲线 y = x sinπx0≤x≤1 与 x 轴围成，则 D 绕 x 轴旋转所成的旋转体的 体积为 _____ 大观严选题 —— 澄潇宇 第 327 页，共 767 页
328	331	i.iii. ii. i.ii.i. i. i.v)2009 数二	i.iii. ii. i.ii.i. i. i.v)2009 数二 设非负函数 y = yx x≥0 满足微分方程 xy - y  + 2 = 0, 当曲线 y = yx 过原点时, 其与直 线 x = 1 及 y = 0 围成平面区域 D 的面积为 2, 求 D 绕 y 轴旋转所得旋转体体积. 大观严选题 —— 澄潇宇 第 328 页，共 767 页
329	332	i.iii. ii. i.ii.i.i.ii.i)1994 数三;880 第三章综合解答 36 已知曲线 y = a x a>0 与曲线 y = ln x 在点	(a.c.b.a.c.a.b) 补全作差 i.iii. ii. i.ii.i.i.ii.i)1994 数三;880 第三章综合解答 36 已知曲线 y = a x a>0 与曲线 y = ln x 在点 x0 ,y  0 处有公共切线, 求: (1) 常数 a 及切点 x0 ,y  0 ； (2) 两曲线与 x 轴围成的平面图形绕 x 轴旋转所得旋转体的体积 Vx. 大观严选题 —— 澄潇宇
330	333	i.iii.ii.i.ii.ii.i.ii.ii)2012 数二	i.iii.ii.i.ii.ii.i.ii.ii)2012 数二 过点 0,1 作曲线 L:y = lnx 的切线, 切点为 A, 又 L 与 x 轴交于 B 点, 区域 D 由 L 与直线 AB 围成.求区 域 D 的面积及 D 绕 x 轴旋转一周所得旋转体的体积. 大观严选题 —— 澄潇宇 第 330 页，共 767 页
331	334	i.iii.ii.i.iii.i.ii.ii. iii)2020 数二;30 例	i.iii.ii.i.iii.i.ii.ii. iii)2020 数二;30 例 设函数 f x 的定义域为 0,+∞ 且满足 2f x + x 2 f 1 x  =
332	335	i.iii.ii.i.ii.i.i.ii.iv)2020 数三	i.iii.ii.i.ii.i.i.ii.iv)2020 数三 (12) 设平面区域 D = x,y  x 2 ≤y≤ 1 1+x  2
333	336	i.iii. ii. i.iii. i.iii. i2015 数二	(a.c.b.a.c.a.c) 体积关系 i.iii. ii. i.iii. i.iii. i2015 数二 设 A > 0,D 是由曲线段 y = Asinx 0≤x≤ π 2  及直线 y = 0,x =
334	337	i.iii.ii.i.ii.i.iv.i)2024 数二	(a.c.b.a.c.a.d) 旋转体最值 i.iii.ii.i.ii.i.iv.i)2024 数二 19.设 t > 0, 求曲线 y = x e-x与直线 x = t,x = 2t 及 x 轴所围平面图形, 绕 x 轴旋转所得的旋转体体积 为 V t , 求 V t 的最大值. 大观严选题 —— 澄潇宇 第 334 页，共 767 页
335	338	i.iii.ii.i.iii.ii.i11996 数二；武基础严选第 6 章选择 4	i.iii. ii. i.ii.ii) 绕坐标轴平行线转 (a.c.b.a.c.b.a) 常规 i.iii.ii.i.iii.ii.i11996 数二；武基础严选第 6 章选择 4 (5) 设 f x ,gx 在区间 a,b 上连续, 且 gx < f x < m(m 为常数), 由曲线 y = gx ,y = f x , x = a 及 x = b 所围平面图形绕直线 y = m 旋转而成的旋转体体积为 (
336	339	i.iii. ii. i. ii. ii. ii. ii. i)1993 数二;880 第三章综合解答 39; 李正元例 3.55	(a.c.b.a.c.b.b) 圆域 i.iii. ii. i. ii. ii. ii. ii. i)1993 数二;880 第三章综合解答 39; 李正元例 3.55 设平面图形 A 由 x 2+ y 2 ≤ 2x 与 y ≥ x 所确定, 求图形 A 绕直线 x = 2 旋转一周所得旋转体的 体积. 大观严选题 —— 澄潇宇
